Member State Code,Member State Name,Week - Begin Date,Week - End Date,Week Number,Category,Unit,Price,Year
IE,Ireland,1991-06-10,1991-06-16,24,Heifers,100kg,242.4,1991
IE,Ireland,1991-11-11,1991-11-17,46,Heifers,100kg,220.5,1991
IE,Ireland,1991-01-14,1991-01-20,3,Heifers,100kg,239.0,1991
IE,Ireland,1991-03-18,1991-03-24,12,Heifers,100kg,240.4,1991
IE,Ireland,1991-11-18,1991-11-24,47,Heifers,100kg,224.3,1991
IE,Ireland,1991-06-03,1991-06-09,23,Heifers,100kg,245.5,1991
IE,Ireland,1991-06-24,1991-06-30,26,Heifers,100kg,234.8,1991
IE,Ireland,1991-07-01,1991-07-07,27,Heifers,100kg,227.6,1991
IE,Ireland,1991-06-17,1991-06-23,25,Heifers,100kg,239.2,1991
IE,Ireland,1991-11-04,1991-11-10,45,Heifers,100kg,218.1,1991
IE,Ireland,1991-03-11,1991-03-17,11,Heifers,100kg,241.2,1991
IE,Ireland,1991-01-21,1991-01-27,4,Heifers,100kg,237.7,1991
IE,Ireland,1991-10-28,1991-11-03,44,Heifers,100kg,216.2,1991
IE,Ireland,1991-05-27,1991-06-02,22,Heifers,100kg,250.3,1991
IE,Ireland,1991-05-13,1991-05-19,20,Heifers,100kg,250.9,1991
IE,Ireland,1991-05-06,1991-05-12,19,Heifers,100kg,249.7,1991
IE,Ireland,1991-12-09,1991-12-15,50,Heifers,100kg,228.2,1991
IE,Ireland,1991-04-29,1991-05-05,18,Heifers,100kg,244.7,1991
IE,Ireland,1991-04-01,1991-04-07,14,Heifers,100kg,241.1,1991
IE,Ireland,1991-11-25,1991-12-01,48,Heifers,100kg,216.9,1991
IE,Ireland,1991-03-25,1991-03-31,13,Heifers,100kg,240.4,1991
IE,Ireland,1991-12-02,1991-12-08,49,Heifers,100kg,226.0,1991
IE,Ireland,1991-01-07,1991-01-13,2,Heifers,100kg,237.5,1991
IE,Ireland,1991-05-20,1991-05-26,21,Heifers,100kg,250.9,1991
IE,Ireland,1991-02-18,1991-02-24,8,Heifers,100kg,235.4,1991
IE,Ireland,1991-08-19,1991-08-25,34,Heifers,100kg,221.4,1991
IE,Ireland,1991-02-04,1991-02-10,6,Heifers,100kg,236.4,1991
IE,Ireland,1991-09-30,1991-10-06,40,Heifers,100kg,215.0,1991
IE,Ireland,1991-08-12,1991-08-18,33,Heifers,100kg,215.6,1991
IE,Ireland,1991-09-23,1991-09-29,39,Heifers,100kg,219.3,1991
IE,Ireland,1991-09-16,1991-09-22,38,Heifers,100kg,220.2,1991
IE,Ireland,1991-09-09,1991-09-15,37,Heifers,100kg,223.9,1991
IE,Ireland,1991-02-11,1991-02-17,7,Heifers,100kg,237.0,1991
IE,Ireland,1991-09-02,1991-09-08,36,Heifers,100kg,223.9,1991
IE,Ireland,1991-08-26,1991-09-01,35,Heifers,100kg,222.9,1991
IE,Ireland,1991-10-14,1991-10-20,42,Heifers,100kg,211.9,1991
IE,Ireland,1991-07-15,1991-07-21,29,Heifers,100kg,227.6,1991
IE,Ireland,1991-01-28,1991-02-03,5,Heifers,100kg,235.6,1991
IE,Ireland,1991-10-21,1991-10-27,43,Heifers,100kg,215.8,1991
IE,Ireland,1991-07-08,1991-07-14,28,Heifers,100kg,227.8,1991
IE,Ireland,1991-02-25,1991-03-03,9,Heifers,100kg,238.1,1991
IE,Ireland,1991-07-29,1991-08-04,31,Heifers,100kg,223.2,1991
IE,Ireland,1991-03-04,1991-03-10,10,Heifers,100kg,239.7,1991
IE,Ireland,1991-07-22,1991-07-28,30,Heifers,100kg,223.8,1991
IE,Ireland,1991-08-05,1991-08-11,32,Heifers,100kg,219.9,1991
IE,Ireland,1991-10-07,1991-10-13,41,Heifers,100kg,213.3,1991
IE,Ireland,1990-12-31,1991-01-06,1,Heifers,100kg,236.4,1991
IE,Ireland,1991-04-15,1991-04-21,16,Heifers,100kg,241.6,1991
IE,Ireland,1991-04-22,1991-04-28,17,Heifers,100kg,245.5,1991
IE,Ireland,1991-12-16,1991-12-22,51,Heifers,100kg,228.6,1991
IE,Ireland,1991-04-08,1991-04-14,15,Heifers,100kg,241.1,1991
IE,Ireland,1991-12-23,1991-12-29,52,Heifers,100kg,228.6,1991
IE,Ireland,1992-02-17,1992-02-23,8,Heifers,100kg,233.4,1992
IE,Ireland,1992-03-02,1992-03-08,10,Heifers,100kg,229.9,1992
IE,Ireland,1992-07-20,1992-07-26,30,Heifers,100kg,235.7,1992
IE,Ireland,1992-12-21,1992-12-27,52,Heifers,100kg,230.7,1992
IE,Ireland,1992-10-19,1992-10-25,43,Heifers,100kg,238.4,1992
IE,Ireland,1992-08-10,1992-08-16,33,Heifers,100kg,242.3,1992
IE,Ireland,1992-02-03,1992-02-09,6,Heifers,100kg,234.4,1992
